dts,jumps_1,jumps_2,jumps_3,jumps_4,jumps_5
22/07/2002,-0,0,-0,-0,-0
23/07/2002,-0,0,-0,0,-0
24/07/2002,-0,-0,0,0,-0
25/07/2002,0,0,0.00103137473044904,-0,0.000806547908844598
26/07/2002,0.000517886311398204,-0,-0,-0,0
29/07/2002,0,0.000841549073905451,0,-0,0
30/07/2002,0,0.000364378989444195,-0,-0,0
31/07/2002,0.000408198796010025,0,0,-0,0
01/08/2002,0,-0,-0,0,0
02/08/2002,0,0,0,-0,0
05/08/2002,0,0,0,-0,-0
06/08/2002,0,0,0,0,-0
07/08/2002,0,0,0,0,-0
08/08/2002,-0,0.000607976356142599,0,0,-0
09/08/2002,-0,0,0.000102683564087764,0,0
12/08/2002,0,0.000555226858948875,-0,0,-0
13/08/2002,0,0,-0,-0,0
14/08/2002,0,0,0,-0,0
15/08/2002,0,0,-0,-0,-0
19/08/2002,0,0.000289008799037228,0,-0,-0
20/08/2002,0.000189273931205221,-0,0,-0,-0
21/08/2002,0,0,0,0,0
22/08/2002,0.000318100396392008,0.000973688921665452,0,0,0
23/08/2002,0,0,0,0,-0
26/08/2002,0,0,0.000161387158792245,0,0
27/08/2002,0,0.00037214681924899,0,0,0
28/08/2002,0,0,0,0,8.04245567489195e-05
29/08/2002,0,0,-0,-0,0
30/08/2002,0.000232829250182247,0,0,-0,0
03/09/2002,0,-0,-0,0,0
05/09/2002,0,0,0,0,0
06/09/2002,0,0,0,-0,-0
09/09/2002,0,0,0,8.60138197036414e-05,0
12/09/2002,0,0,-0,-0,0
13/09/2002,0,-0,-0,-0,-0
16/09/2002,0,0,0.000140215214260181,0,0
17/09/2002,0,0,0,0,0
18/09/2002,0,0,0,0,0.000232162714393025
19/09/2002,0,0,0,0,9.18315636343763e-05
20/09/2002,0,0,0,-0,0
23/09/2002,0,0.000574448246155465,0,-0,-0
24/09/2002,0,0,0.000386308009794404,0,0
25/09/2002,0,0,0,0,-0
26/09/2002,0,0,0.000386710607282474,-0,0
27/09/2002,0,-0,0,-0,0.000115202539970947
30/09/2002,0,0,0,-0,0
01/10/2002,0.000722136686865807,-0,0.000408626867515005,0,0
02/10/2002,0,0.000196521724613521,0,0.000677668162053252,-0
03/10/2002,0,0.000132242978437975,-0,0,-0
07/10/2002,0.000299343927025908,0,0.000534977447796436,0.000232001724648486,0
08/10/2002,-0,0,0,0,-0
09/10/2002,0,0,0,0,0
10/10/2002,0,0.000333590286568762,0,0,-0
11/10/2002,0,0,0.000388229772527113,-0,0
14/10/2002,-0,0.000362672426010157,-0,-0,0
15/10/2002,0,0,0,7.74846884898484e-05,0
16/10/2002,0,0.000830026938724045,0,0,0
17/10/2002,0,0,-0,-0,-0
18/10/2002,0,0,0.00033811946764446,0,0
21/10/2002,0.000130119748561425,-0,-0,0,0
23/10/2002,0,0,-0,-0,0
24/10/2002,0,0,0,0,0
25/10/2002,0,0,0.000287140576591555,0,-0
28/10/2002,0,-0,0.00141064933943848,-0,0
29/10/2002,0,0,0,-0,0.000130965292011264
30/10/2002,0.000322790591748656,0,0.000568909049060033,0,0
01/11/2002,0,9.28858285922887e-05,0,0,0
04/11/2002,0,0,-0,-0,-0
05/11/2002,0,0,0,0,0
06/11/2002,0.00068593420775517,0,-0,0,0
07/11/2002,0,-0,0,-0,0
08/11/2002,0,0,0,9.59282085395351e-05,0
11/11/2002,0.000210137165124039,0,0,0,8.60469873709454e-05
12/11/2002,0,0,0.000291109947853406,0,0
13/11/2002,0.000967099930965019,0,0.000247085550183315,0,0.000137277251946567
14/11/2002,0,0,0.000138636803690852,0,0
15/11/2002,0,0,0,0,0
18/11/2002,0,0,-0,0,0
19/11/2002,0,-0,-0,0,-0
21/11/2002,-0,0,0,0,0
22/11/2002,0,-0,0,-0,-0
25/11/2002,0,0.000145363772972312,0,0,0
26/11/2002,0.000188821624432563,-0,0,0,-0
27/11/2002,0,0.000171583192331076,0.00016578536312262,0,0
02/12/2002,-0,-0,-0,0,-0
03/12/2002,-0,0.000216318975613065,0,-0,-0
04/12/2002,0.000340571969139597,0.000240970648900595,0.000398302605918097,0,-0
05/12/2002,0.000189666900665447,0.000563028367169574,0,-0,-0
06/12/2002,-0,0,0,0,0
09/12/2002,0,-0,0.000102433776646295,-0,8.58975123113205e-05
10/12/2002,-0,0.000464986045117164,0,-0,0
11/12/2002,0.000226225401317443,0,0,0,0
12/12/2002,0,0.000259483953208486,0,-0,0
13/12/2002,0,8.29117350274856e-05,0,-0,0
16/12/2002,0.000112920622063075,0,-0,0,0
17/12/2002,0,0,0,0,0
18/12/2002,0,0,-0,0,0
19/12/2002,0.00029012538867664,0.000233784792213085,0,0.000103158608593368,0
20/12/2002,0,0,0,3.79264401047511e-05,0
23/12/2002,0.000124643274462909,8.71014354371575e-05,0,-0,-0
26/12/2002,0,-0,0,7.75325680882027e-05,8.91597671786779e-05
27/12/2002,0,0,6.71256951976558e-05,4.34669163640823e-05,0
30/12/2002,-0,0,0,0,0
31/12/2002,0.000147709224429612,0,-0,0,0
02/01/2003,0.000330862927335427,-0,0,0,0
03/01/2003,0,0.000146233266371384,0,-0,0
07/01/2003,0,0,-0,-0,8.7583121667997e-05
08/01/2003,-0,-0,0,-0,0
09/01/2003,0,0.000100355137744831,0,0,0
10/01/2003,0,-0,0.000168383439974555,0,-0
13/01/2003,0.000292562815359355,0,-0,0,-0
14/01/2003,0.000185485794945542,0,0,0,-0
15/01/2003,0,0,5.80644122822548e-05,0,4.60435607013846e-05
16/01/2003,0,0,0,0,3.50737879914718e-05
22/01/2003,0,0,0,-0,0
23/01/2003,0,0,-0,0,-0
24/01/2003,0.000386121036707355,-0,0,-0,-0
27/01/2003,0,0,-0,0,0
28/01/2003,0,0,-0,0,0
29/01/2003,0.000276964964717137,0,0,0,0
30/01/2003,0,4.63372524142826e-05,0,-0,0.000176459676950354
31/01/2003,0.000216189982632279,0,0,0,0
03/02/2003,0,-0,0.000348240407599237,-0,0.000104290543829267
04/02/2003,0,0.000168705923104087,0,0,0
05/02/2003,0,0,0.000188083107394185,-0,0
06/02/2003,-0,0,0,0.000130046706566436,0
07/02/2003,0,0,0,0,-0
10/02/2003,0,-0,-0,0,-0
11/02/2003,0,-0,6.28514781708914e-05,0,0
12/02/2003,0,0,0,-0,0
13/02/2003,0.000141398834623402,0,0,0.000124482071848827,0
14/02/2003,0.000196333926521343,0,0.000101466432395728,0,0
18/02/2003,0,0,0,-0,0
19/02/2003,8.92811886935102e-05,0,9.34992018067095e-05,0,0
20/02/2003,0,-0,-0,0,-0
21/02/2003,0,0,0,0,0
24/02/2003,7.14673279825963e-05,0,0,0,0.000174206053589437
25/02/2003,0,0,-0,-0,-0
26/02/2003,0.000108439942007355,0,-0,0,0
27/02/2003,0,0,9.44141525979604e-05,0,0
28/02/2003,-0,7.57899228391292e-05,0,0,-0
03/03/2003,0,0.00021671947273648,0,0,0
04/03/2003,0,0,-0,0,-0
05/03/2003,0,0,0,0,-0
06/03/2003,0,0,5.49332050467153e-05,0,-0
07/03/2003,0.000188352782084715,0.000210344488510383,0.000199906233302636,7.82800969211809e-05,0.000370891712256989
10/03/2003,0.000122956197742779,0.000124726023762883,0,-0,-0
11/03/2003,0,-0,0,0,6.93943739813305e-05
12/03/2003,0.000135156656764637,0,0,-0,9.75078064797889e-05
13/03/2003,0,0,0,-0,0
14/03/2003,0,0,0.000326577621368029,0,0
17/03/2003,0,-0,0,-0,-0
18/03/2003,0,0,0,-0,0
19/03/2003,0.000103220174251728,0,0,0,0
20/03/2003,0.000139441736178433,0,0.000107594877832399,0,0
21/03/2003,0.000264841992275556,0,0.000359093809784153,0,0.000223177800733653
24/03/2003,8.66895780173928e-05,-0,0,-0,0
25/03/2003,0.000114552335358307,0,-0,0,0
26/03/2003,6.92914175893768e-05,0,9.33014684060667e-05,0,0
27/03/2003,0,0,4.25124136757663e-05,-0,0
28/03/2003,0,0,0,0,-0
31/03/2003,0,0.000468852034048275,0,-0,0
