;retornos;var;es;market
02-01-2019;-0.017313503;30.75395982;Inf;D1
03-01-2019;0.013315632;0.236107388;0.249196381;D1
04-01-2019;-0.024874857;0.110561635;0.113669807;D1
07-01-2019;0.006511562;0.141107223;0.14646739;D1
08-01-2019;-0.007354098;0.069387888;0.071144566;D1
09-01-2019;-0.011133418;0.036079053;0.037022869;D1
10-01-2019;-0.008950206;0.066167739;0.067892372;D1
11-01-2019;0.004618576;0.047200483;0.048413142;D1
14-01-2019;0.007016863;0.037527612;0.038420024;D1
15-01-2019;-0.015174183;0.046228546;0.04739398;D1
16-01-2019;-0.011689963;0.046326774;0.047476149;D1
17-01-2019;-0.007498977;0.036076003;0.036950268;D1
18-01-2019;0.006904293;0.042656858;0.043700555;D1
22-01-2019;0.018760119;0.041937014;0.042969911;D1
23-01-2019;0.002272776;0.043875527;0.044958542;D1
24-01-2019;0.006848473;0.046775667;0.047946171;D1
25-01-2019;-0.013451398;0.046915988;0.048088617;D1
28-01-2019;-0.002820077;0.045172254;0.04629575;D1
29-01-2019;0.00975053;0.044859861;0.045973587;D1
30-01-2019;-0.009845413;0.044533066;0.045637974;D1
31-01-2019;0.00021219;0.040106623;0.041086414;D1
01-02-2019;0.002873252;0.040875465;0.041876836;D1
04-02-2019;-0.021496385;0.043343955;0.044414699;D1
05-02-2019;-0.004764442;0.040181609;0.041163658;D1
06-02-2019;0.004410926;0.040208559;0.041191309;D1
07-02-2019;0.005971943;0.040910196;0.041912488;D1
08-02-2019;-0.008072306;0.04177777;0.042804318;D1
11-02-2019;0.010190035;0.038333257;0.039264431;D1
12-02-2019;-0.003136599;0.041911159;0.04294146;D1
13-02-2019;0.0076104;0.039444143;0.040405789;D1
14-02-2019;-0.004113499;0.040013524;0.040985652;D1
15-02-2019;0.007667026;0.038610497;0.039549419;D1
19-02-2019;-0.009218628;0.040129775;0.041108411;D1
20-02-2019;-0.00484109;0.037462055;0.038369794;D1
21-02-2019;0.004871375;0.03923622;0.040187401;D1
22-02-2019;-0.009496395;0.03752443;0.038433857;D1
25-02-2019;-0.001520999;0.038372;0.039302474;D1
26-02-2019;-0.003910078;0.036870125;0.037761408;D1
27-02-2019;-0.00795739;0.038166778;0.039092768;D1
28-02-2019;0.005726096;0.036539511;0.037421766;D1
01-03-2019;-0.001966164;0.037578134;0.038488524;D1
04-03-2019;-0.000861165;0.03641408;0.037293154;D1
05-03-2019;0.002619816;0.03737953;0.038282774;D1
06-03-2019;0.000944347;0.036094092;0.036964697;D1
07-03-2019;0.008229999;0.037129668;0.038027399;D1
08-03-2019;-0.013288572;0.035980954;0.036848541;D1
11-03-2019;-0.018576466;0.03870446;0.039645506;D1
12-03-2019;-0.003967843;0.03552936;0.036384863;D1
13-03-2019;0.00472285;0.038866384;0.039812041;D1
14-03-2019;0.000707744;0.036609879;0.037494332;D1
15-03-2019;-0.007686661;0.038118577;0.039043852;D1
18-03-2019;-0.011633074;0.036186864;0.037059943;D1
19-03-2019;0.011063622;0.038348299;0.039279866;D1
20-03-2019;-0.009331416;0.035826071;0.036689482;D1
21-03-2019;-0.025508035;0.038138607;0.039054859;D1
22-03-2019;0.019580954;0.03592906;0.03679543;D1
25-03-2019;0.014882498;0.043415554;0.044484638;D1
26-03-2019;0.02754843;0.0410859;0.042093313;D1
27-03-2019;0.003549569;0.052326473;0.05364496;D1
28-03-2019;0.000659396;0.051917548;0.053228952;D1
29-03-2019;0.001479383;0.050853105;0.05213016;D1
01-04-2019;0.003323293;0.048856973;0.050078026;D1
02-04-2019;-0.01436228;0.050796109;0.052061688;D1
03-04-2019;-0.011065757;0.045683233;0.046814217;D1
04-04-2019;-0.003102618;0.046965322;0.048120981;D1
05-04-2019;-0.002007399;0.044583273;0.045680954;D1
08-04-2019;-0.016503464;0.044443401;0.045536358;D1
09-04-2019;0.004445018;0.041944211;0.04297264;D1
10-04-2019;-0.00725742;0.043048911;0.044106164;D1
11-04-2019;0.009054467;0.040651077;0.041645271;D1
12-04-2019;0.002311455;0.041185585;0.042193715;D1
15-04-2019;-0.002967455;0.039746501;0.040715314;D1
16-04-2019;0.000151529;0.040240385;0.041223408;D1
17-04-2019;-0.018870058;0.0389347;0.039875302;D1
18-04-2019;-0.001082234;0.039429124;0.040389881;D1
22-04-2019;-0.009306528;0.040784222;0.04178049;D1
23-04-2019;-0.013307407;0.041717334;0.042738572;D1
24-04-2019;0.00086869;0.03956201;0.040526163;D1
25-04-2019;0.007863757;0.040862672;0.041844413;D1
26-04-2019;0.002419653;0.03969156;0.040660228;D1
29-04-2019;-0.000711873;0.039405388;0.040358857;D1
30-04-2019;0.013287117;0.038536682;0.039471254;D1
01-05-2019;-0.000275671;0.038999721;0.03994657;D1
02-05-2019;0.001604478;0.037934861;0.038854505;D1
03-05-2019;-0.002504249;0.034543539;0.03535605;D1
06-05-2019;-0.020894706;0.037081993;0.037968148;D1
07-05-2019;0.014217593;0.038064793;0.038957193;D1
08-05-2019;-0.003792342;0.036000515;0.036854869;D1
09-05-2019;0.000562132;0.036147134;0.037007903;D1
10-05-2019;0.002289857;0.037201266;0.038096934;D1
13-05-2019;0.009830067;0.035569596;0.036420907;D1
14-05-2019;-0.011333304;0.036463413;0.037333431;D1
15-05-2019;-0.022468164;0.038446224;0.039372459;D1
16-05-2019;0.000252751;0.036040008;0.036905492;D1
17-05-2019;-0.009272675;0.035325369;0.036167598;D1
20-05-2019;-0.00244588;0.038186116;0.03911218;D1
21-05-2019;-0.00590879;0.036059529;0.036922768;D1
22-05-2019;0.00984749;0.036021089;0.036889554;D1
23-05-2019;0.000952438;0.036680708;0.037563141;D1
24-05-2019;0.007235038;0.036703246;0.037590178;D1
28-05-2019;0.004367782;0.039991852;0.040965303;D1
29-05-2019;-0.007228221;0.039576352;0.040537035;D1
30-05-2019;-0.000165742;0.037316361;0.03821884;D1
31-05-2019;0.00320858;0.039884523;0.040856648;D1
03-06-2019;0.013561838;0.038525488;0.039460569;D1
04-06-2019;-0.021489131;0.040576607;0.041566501;D1
05-06-2019;0.010385614;0.03821273;0.039140224;D1
06-06-2019;-0.012544021;0.039035303;0.039984581;D1
07-06-2019;-0.018659139;0.042504955;0.043547758;D1
10-06-2019;-0.004408705;0.03957639;0.040536748;D1
11-06-2019;0.00040793;0.038151371;0.039071089;D1
12-06-2019;-0.001105353;0.041565208;0.042584199;D1
13-06-2019;0.002480984;0.038820661;0.039760141;D1
14-06-2019;-0.008693613;0.03832201;0.039252478;D1
17-06-2019;-0.004424559;0.038986247;0.039932045;D1
18-06-2019;-0.013054234;0.041463349;0.042481038;D1
19-06-2019;0.011628209;0.039911041;0.040884362;D1
20-06-2019;0.005281861;0.040478839;0.041467661;D1
21-06-2019;-0.000698539;0.039394169;0.040352104;D1
24-06-2019;0.001202768;0.03999377;0.04097014;D1
25-06-2019;0.014916055;0.038347945;0.039278696;D1
26-06-2019;-0.009660442;0.039205296;0.04015974;D1
27-06-2019;0.003997978;0.037940664;0.038860851;D1
28-06-2019;0.003857084;0.039890983;0.04086474;D1
01-07-2019;0.008745261;0.043496216;0.044571252;D1
02-07-2019;-0.005344241;0.045001101;0.04611924;D1
05-07-2019;-0.005115356;0.044654697;0.045762921;D1
08-07-2019;0.003489062;0.043902014;0.04498869;D1
09-07-2019;-0.010218832;0.043451213;0.044525057;D1
10-07-2019;-0.007034703;0.042630719;0.043681296;D1
11-07-2019;0.008074559;0.041805421;0.042832751;D1
12-07-2019;-0.002986317;0.041279465;0.042292056;D1
15-07-2019;-0.005692845;0.040779171;0.041775917;D1
16-07-2019;0.001002769;0.040081656;0.041060965;D1
17-07-2019;0.004732859;0.039707303;0.040675513;D1
18-07-2019;-0.007814483;0.039265451;0.04022234;D1
19-07-2019;0.017863184;0.039116569;0.040062734;D1
22-07-2019;-0.015476772;0.038521756;0.039458372;D1
23-07-2019;-0.000428137;0.034184338;0.035001831;D1
24-07-2019;-0.003770705;0.036946713;0.037840428;D1
25-07-2019;0.007787624;0.036910515;0.037802178;D1
26-07-2019;9.19E-05;0.035888396;0.036753573;D1
29-07-2019;-0.005980987;0.035691802;0.036551294;D1
30-07-2019;-0.000405476;0.037323597;0.03822736;D1
31-07-2019;0.0175541;0.035432381;0.036285154;D1
01-08-2019;0.026520573;0.036292131;0.037168052;D1
02-08-2019;0.006361726;0.039689637;0.040658004;D1
05-08-2019;0.022918545;0.043876789;0.044962785;D1
06-08-2019;-0.00108009;0.052206515;0.053532618;D1
07-08-2019;-0.017972802;0.059499703;0.061050074;D1
08-08-2019;-0.013146206;0.054411131;0.055808496;D1
09-08-2019;-0.000497751;0.052588041;0.053928178;D1
12-08-2019;-0.004723366;0.054071385;0.055456905;D1
13-08-2019;-0.037991864;0.053349339;0.054712652;D1
14-08-2019;-0.001718491;0.051158275;0.052454265;D1
15-08-2019;0.007338611;0.05115974;0.052458243;D1
