;x
02-01-2019;0.017313503
03-01-2019;-0.013315632
04-01-2019;0.024874857
07-01-2019;-0.006511562
08-01-2019;0.007354098
09-01-2019;0.011133418
10-01-2019;0.008950206
11-01-2019;-0.004618576
14-01-2019;-0.007016863
15-01-2019;0.015174183
16-01-2019;0.011689963
17-01-2019;0.007498977
18-01-2019;-0.006904293
22-01-2019;-0.018760119
23-01-2019;-0.002272776
24-01-2019;-0.006848473
25-01-2019;0.013451398
28-01-2019;0.002820077
29-01-2019;-0.00975053
30-01-2019;0.009845413
31-01-2019;-0.00021219
01-02-2019;-0.002873252
04-02-2019;0.021496385
05-02-2019;0.004764442
06-02-2019;-0.004410926
07-02-2019;-0.005971943
08-02-2019;0.008072306
11-02-2019;-0.010190035
12-02-2019;0.003136599
13-02-2019;-0.0076104
14-02-2019;0.004113499
15-02-2019;-0.007667026
19-02-2019;0.009218628
20-02-2019;0.00484109
21-02-2019;-0.004871375
22-02-2019;0.009496395
25-02-2019;0.001520999
26-02-2019;0.003910078
27-02-2019;0.00795739
28-02-2019;-0.005726096
01-03-2019;0.001966164
04-03-2019;0.000861165
05-03-2019;-0.002619816
06-03-2019;-0.000944347
07-03-2019;-0.008229999
08-03-2019;0.013288572
11-03-2019;0.018576466
12-03-2019;0.003967843
13-03-2019;-0.00472285
14-03-2019;-0.000707744
15-03-2019;0.007686661
18-03-2019;0.011633074
19-03-2019;-0.011063622
20-03-2019;0.009331416
21-03-2019;0.025508035
22-03-2019;-0.019580954
25-03-2019;-0.014882498
26-03-2019;-0.02754843
27-03-2019;-0.003549569
28-03-2019;-0.000659396
29-03-2019;-0.001479383
01-04-2019;-0.003323293
02-04-2019;0.01436228
03-04-2019;0.011065757
04-04-2019;0.003102618
05-04-2019;0.002007399
08-04-2019;0.016503464
09-04-2019;-0.004445018
10-04-2019;0.00725742
11-04-2019;-0.009054467
12-04-2019;-0.002311455
15-04-2019;0.002967455
16-04-2019;-0.000151529
17-04-2019;0.018870058
18-04-2019;0.001082234
22-04-2019;0.009306528
23-04-2019;0.013307407
24-04-2019;-0.00086869
25-04-2019;-0.007863757
26-04-2019;-0.002419653
29-04-2019;0.000711873
30-04-2019;-0.013287117
01-05-2019;0.000275671
02-05-2019;-0.001604478
03-05-2019;0.002504249
06-05-2019;0.020894706
07-05-2019;-0.014217593
08-05-2019;0.003792342
09-05-2019;-0.000562132
10-05-2019;-0.002289857
13-05-2019;-0.009830067
14-05-2019;0.011333304
15-05-2019;0.022468164
16-05-2019;-0.000252751
17-05-2019;0.009272675
20-05-2019;0.00244588
21-05-2019;0.00590879
22-05-2019;-0.00984749
23-05-2019;-0.000952438
24-05-2019;-0.007235038
28-05-2019;-0.004367782
29-05-2019;0.007228221
30-05-2019;0.000165742
31-05-2019;-0.00320858
03-06-2019;-0.013561838
04-06-2019;0.021489131
05-06-2019;-0.010385614
06-06-2019;0.012544021
07-06-2019;0.018659139
10-06-2019;0.004408705
11-06-2019;-0.00040793
12-06-2019;0.001105353
13-06-2019;-0.002480984
14-06-2019;0.008693613
17-06-2019;0.004424559
18-06-2019;0.013054234
19-06-2019;-0.011628209
20-06-2019;-0.005281861
21-06-2019;0.000698539
24-06-2019;-0.001202768
25-06-2019;-0.014916055
26-06-2019;0.009660442
27-06-2019;-0.003997978
28-06-2019;-0.003857084
01-07-2019;-0.008745261
02-07-2019;0.005344241
05-07-2019;0.005115356
08-07-2019;-0.003489062
09-07-2019;0.010218832
10-07-2019;0.007034703
11-07-2019;-0.008074559
12-07-2019;0.002986317
15-07-2019;0.005692845
16-07-2019;-0.001002769
17-07-2019;-0.004732859
18-07-2019;0.007814483
19-07-2019;-0.017863184
22-07-2019;0.015476772
23-07-2019;0.000428137
24-07-2019;0.003770705
25-07-2019;-0.007787624
26-07-2019;-9.19E-05
29-07-2019;0.005980987
30-07-2019;0.000405476
31-07-2019;-0.0175541
01-08-2019;-0.026520573
02-08-2019;-0.006361726
05-08-2019;-0.022918545
06-08-2019;0.00108009
07-08-2019;0.017972802
08-08-2019;0.013146206
09-08-2019;0.000497751
12-08-2019;0.004723366
13-08-2019;0.037991864
14-08-2019;0.001718491
15-08-2019;-0.007338611
16-08-2019;0.008086223
19-08-2019;-0.001638285
20-08-2019;-0.00369653
21-08-2019;-0.000893542
22-08-2019;-0.006346254
23-08-2019;-0.032338163
26-08-2019;0.001840736
27-08-2019;-0.019945838
28-08-2019;0.00439481
29-08-2019;0.001340029
30-08-2019;-0.00760485
03-09-2019;-0.005190692
04-09-2019;0.002581596
05-09-2019;0.005103813
06-09-2019;-0.005082208
09-09-2019;-0.004215161
10-09-2019;0.010919581
11-09-2019;0.023812528
12-09-2019;-0.008566585
13-09-2019;-0.004302455
16-09-2019;0.00877802
17-09-2019;0.00199502
18-09-2019;0.007571361
19-09-2019;-0.005370849
20-09-2019;-0.018829849
23-09-2019;-0.002607462
24-09-2019;-0.015945685
25-09-2019;0.008348993
26-09-2019;-0.001589476
27-09-2019;-0.006367749
30-09-2019;0.012593916
01-10-2019;-0.000830725
02-10-2019;-0.018754872
03-10-2019;0.01339774
04-10-2019;0.004986011
07-10-2019;0.00284241
08-10-2019;-0.006369821
09-10-2019;-0.001785798
10-10-2019;0.008648392
11-10-2019;0.012398653
14-10-2019;0.005129165
15-10-2019;-0.00576236
16-10-2019;0.004982328
17-10-2019;-0.000106287
18-10-2019;0.006713727
21-10-2019;0.010406617
22-10-2019;-0.005254345
23-10-2019;0.004534634
24-10-2019;-0.006007321
25-10-2019;0.014053333
28-10-2019;0.006768023
29-10-2019;-0.022375373
30-10-2019;-0.006252028
31-10-2019;0.003763021
01-11-2019;0.023594873
04-11-2019;-0.001032349
05-11-2019;-0.000542388
06-11-2019;0.000560141
07-11-2019;0.002473688
08-11-2019;0.00467989
11-11-2019;0.013544554
12-11-2019;1.89E-05
13-11-2019;0.012181259
14-11-2019;-0.005845929
15-11-2019;0.005283739
18-11-2019;0.002661458
19-11-2019;-0.006758765
20-11-2019;-0.009565756
21-11-2019;-0.006204139
22-11-2019;-0.004215485
25-11-2019;0.014973096
26-11-2019;-0.01251756
27-11-2019;0.007230403
02-12-2019;-0.013437689
03-12-2019;0.00306707
04-12-2019;0.001685871
05-12-2019;0.007617335
06-12-2019;0.010884978
09-12-2019;-0.012106526
10-12-2019;-0.000653768
11-12-2019;0.006304573
12-12-2019;0.013391743
13-12-2019;0.01490926
16-12-2019;0.009483643
17-12-2019;0.003066901
18-12-2019;-0.001158353
19-12-2019;0.002322902
20-12-2019;-0.012494014
23-12-2019;0.0111751
26-12-2019;0.016457557
27-12-2019;-0.006250149
30-12-2019;0.007548946
31-12-2019;0.012244536
02-01-2020;0.012750278
03-01-2020;-0.000238231
06-01-2020;0.017972205
07-01-2020;-0.006821481
08-01-2020;0.018406008
09-01-2020;0.007277209
10-01-2020;-0.00227457
13-01-2020;0.015810637
14-01-2020;-0.015250657
15-01-2020;-0.004116443
16-01-2020;0.00422397
17-01-2020;0.006089556
21-01-2020;-0.002507808
22-01-2020;-0.004287222
23-01-2020;0.001686853
24-01-2020;-0.005305544
27-01-2020;-0.00229147
28-01-2020;0.015105887
29-01-2020;-0.001309467
30-01-2020;0.007885583
31-01-2020;-0.0365122
03-02-2020;0.012867719
